id,statement,classification,explanation,source,createdAt
1,Girls should not exercise during periods,Myth,"Light to moderate exercise during periods is actually beneficial. It releases endorphins that act as natural pain relievers and can reduce cramps and improve mood. Activities like walking, yoga, and light stretching are especially helpful. Only avoid exercise if you feel very unwell.",Medical Research,2024-01-01
2,Periods are impure or dirty,Myth,"Menstruation is a completely natural and healthy biological process. It is not impure, dirty, or shameful. Menstrual blood is simply the shedding of the uterine lining. This myth has cultural origins but has no scientific basis. Menstruating people can do all normal activities.",Cultural Education,2024-01-01
3,You should not wash your hair during periods,Myth,"There is absolutely no medical reason to avoid washing your hair during menstruation. In fact, maintaining hygiene including hair washing is important for overall health and comfort during periods. This is a cultural myth with no scientific basis.",Medical Research,2024-01-01
4,Eating sour foods during periods causes more bleeding,Myth,"There is no scientific evidence that sour foods affect menstrual flow. A balanced diet including fruits (even sour ones) is healthy during periods. Vitamin C in citrus fruits actually helps with iron absorption which is beneficial during menstruation.",Nutrition Science,2024-01-01
5,PMS (Premenstrual Syndrome) is not real,Myth,"PMS is a medically recognized condition affecting many people before their period. Symptoms include mood changes, bloating, breast tenderness, fatigue, and irritability. These are caused by hormonal fluctuations and are very real. Severe PMS is called PMDD and can be treated.",Medical Research,2024-01-01
6,A normal menstrual cycle is exactly 28 days,Partially True,"While 28 days is often cited as average, a normal cycle can range from 21 to 35 days. Cycle length varies between individuals and can even vary month to month for the same person. What matters is that your cycle is relatively consistent for you.",Medical Research,2024-01-01
7,You cannot get pregnant during your period,Partially True,"While pregnancy is less likely during menstruation, it is not impossible. Sperm can survive in the body for up to 5 days, and if you have a short cycle or ovulate early, pregnancy can occur. Reliable contraception should be used if pregnancy is not desired.",Reproductive Health,2024-01-01
8,Menstrual cramps are just in your head,Myth,"Menstrual cramps (dysmenorrhea) are caused by prostaglandins, hormone-like substances that cause the uterus to contract. They are a real physical experience. Severe cramps can indicate conditions like endometriosis. Pain should never be dismissed and can be managed with heat, exercise, and medication.",Medical Research,2024-01-01
9,Irregular periods always mean something is seriously wrong,Partially True,"Occasional irregular periods are common and can be caused by stress, weight changes, illness, or travel. However, consistently irregular periods may indicate hormonal imbalances, PCOS, thyroid issues, or other conditions worth discussing with a doctor. Tracking your cycle helps identify patterns.",Medical Research,2024-01-01
10,Using tampons means you are no longer a virgin,Myth,"Virginity is a social concept, not a medical one. Using a tampon does not change your hymen significantly or affect your virginity status. The hymen is a thin membrane that varies greatly between individuals and can be stretched by many activities. This myth causes unnecessary fear about tampon use.",Medical Education,2024-01-01
de2fb399-84e2-4264-bf3e-0131c1be41a5,Girls should not exercise during periods,MYTH,"This statement is a myth because exercising during periods is not only allowed, but it can also be beneficial. Exercise can help reduce cramps, bloating, and mood swings associated with menstruation. In fact, gentle exercises like yoga, walking, or swimming can help release endorphins, which are natural pain relievers. However, it's essential to listen to your body and not overexert yourself. If you're feeling tired or experiencing heavy bleeding, it's okay to take a break or modify your exercis",AI Analysis,2026-05-17T11:54:44.405Z
cfa69d32-ebbd-4388-bd4d-5a94479a1b7c,Girls should not exercise during periods,MYTH,Exercise during periods is safe and can even help ease cramps. Gentle activities like yoga or walking are great options.,AI Analysis,2026-05-20T19:50:04.128Z
