id,title,category,summary,content,tags,author,createdAt
1,Understanding Your Menstrual Cycle,Menstrual Hygiene,Learn about the phases of your menstrual cycle and what happens in your body.,"Your menstrual cycle is a natural process that prepares your body each month. It has 4 phases: Menstrual phase (days 1-5) when bleeding occurs, Follicular phase (days 1-13) when eggs mature, Ovulation (day 14) when an egg is released, and Luteal phase (days 15-28) when the body prepares for possible pregnancy. A normal cycle is 21-35 days long.",menstruation;cycle;phases;education,SakhiCare Team,2024-01-01
2,Menstrual Hygiene Best Practices,Menstrual Hygiene,Essential hygiene tips to stay clean and comfortable during your period.,"Change your pad or tampon every 4-6 hours. Wash your hands before and after changing. Use mild unscented soap to clean the vaginal area. Avoid douching as it disrupts natural pH. Dispose of used products hygienically. Wear breathable cotton underwear. Stay hydrated and maintain overall cleanliness.",hygiene;pads;tampons;cleanliness,SakhiCare Team,2024-01-01
3,Nutrition During Periods,Nutrition,Foods that help ease period symptoms and boost your energy.,"Iron-rich foods like spinach, lentils, and beans help replace iron lost during bleeding. Calcium from dairy or fortified foods reduces cramps. Magnesium in nuts and dark chocolate eases mood swings. Omega-3 fatty acids in fish reduce inflammation. Avoid excess salt, caffeine, and sugar which can worsen bloating and cramps. Stay well hydrated.",nutrition;iron;food;cramps;diet,SakhiCare Team,2024-01-01
4,Exercise and Periods,Exercise,How physical activity can actually help during your menstrual cycle.,"Light exercise during periods can reduce cramps and improve mood. Walking, yoga, and stretching are excellent choices. Exercise releases endorphins which are natural pain relievers. Avoid intense workouts if you feel very uncomfortable. Listen to your body. Regular exercise throughout the month helps regulate cycles and reduce PMS symptoms.",exercise;yoga;cramps;fitness,SakhiCare Team,2024-01-01
5,Understanding Puberty,Puberty Education,A guide to the physical and emotional changes during puberty.,"Puberty is a natural transition from childhood to adulthood. For girls it typically starts between ages 8-13. Changes include breast development, pubic and underarm hair growth, height increase, hip widening, and the start of menstruation. Emotional changes like mood swings are also normal. These changes are healthy and happen at different rates for everyone.",puberty;changes;growth;adolescence,SakhiCare Team,2024-01-01
6,Managing Period Pain,Menstrual Hygiene,Natural and safe ways to manage menstrual cramps and discomfort.,"Apply a heating pad or hot water bottle to your lower abdomen. Gentle massage can help. Over-the-counter pain relievers like ibuprofen can help if approved by a parent or doctor. Stay hydrated and avoid caffeine. Light exercise and yoga poses like child's pose can ease cramps. Rest when needed. If pain is severe consult a healthcare provider.",pain;cramps;relief;comfort,SakhiCare Team,2024-01-01
7,Mental Wellness During Periods,Mental Wellness,Taking care of your emotional health throughout your cycle.,"Hormonal changes can affect mood throughout your cycle. PMS (Premenstrual Syndrome) can cause irritability, sadness, or anxiety before periods. Practice self-care: journaling, talking to trusted friends, light exercise, adequate sleep. Mindfulness and breathing exercises help manage stress. Remember mood changes are temporary and normal. Seek support if feelings become overwhelming.",mental health;mood;PMS;emotions;wellness,SakhiCare Team,2024-01-01
8,Period Products Guide,Menstrual Hygiene,Overview of different menstrual products and how to use them safely.,"Sanitary pads are the most common and easy to use. Tampons are inserted internally and should be changed every 4-8 hours. Menstrual cups are reusable eco-friendly options. Period underwear absorbs flow without additional products. Choose what feels comfortable for you. All products are safe when used correctly. Toxic Shock Syndrome (TSS) risk is very low but change products regularly.",products;pads;tampons;cup;hygiene,SakhiCare Team,2024-01-01
9,Iron Deficiency and Periods,Nutrition,Why iron matters and how to prevent deficiency during menstruation.,"Heavy periods can lead to iron deficiency anemia. Symptoms include fatigue, weakness, pale skin, and dizziness. Eat iron-rich foods: red meat, poultry, fish, beans, lentils, tofu, spinach, fortified cereals. Pair with Vitamin C foods to improve absorption. Avoid tea and coffee with meals as they reduce iron absorption. Consult a doctor if you feel very fatigued.",iron;anemia;nutrition;fatigue;health,SakhiCare Team,2024-01-01
10,Stress and Your Cycle,Mental Wellness,How stress affects your menstrual cycle and what you can do about it.,"Stress can delay or disrupt your menstrual cycle. High cortisol levels interfere with reproductive hormones. Chronic stress may cause irregular periods. Manage stress through regular sleep (7-9 hours), exercise, relaxation techniques, and social support. Yoga and meditation are particularly helpful. If your cycle is consistently irregular due to stress consult a healthcare provider.",stress;irregular;cycle;cortisol;wellness,SakhiCare Team,2024-01-01
